Channel no; Serial no; Hub port
         1;    497201;        6
         2;    497201;        2
         3;    497201;        4
         4;    497201;        3
         5;    497201;        5
         6;    497201;        1
         7;    495445;        1
         8;    495445;        2
         9;    495445;        3
        10;    495445;        6
        11;    495445;        4
        12;    495445;        5
        13;    495450;        4
        14;    495450;        6
        15;    495450;        3
        16;    495450;        2
        17;    495450;        1
        18;    495450;        5
        19;    497044;        6
        20;    497044;        3
        21;    497044;        4
        22;    497044;        1
        23;    497044;        5
        24;    497044;        2
